,horodate,P
335,2019-01-07T00:00:00+00:00,13.728530282184177
334,2019-01-07T00:30:00+00:00,13.703566390156718
333,2019-01-07T01:00:00+00:00,13.581125668803923
332,2019-01-07T01:30:00+00:00,13.255907635830145
331,2019-01-07T02:00:00+00:00,13.167694340390893
330,2019-01-07T02:30:00+00:00,13.030593812345291
329,2019-01-07T03:00:00+00:00,13.277507894969158
328,2019-01-07T03:30:00+00:00,13.288525344429374
327,2019-01-07T04:00:00+00:00,14.425849945027585
326,2019-01-07T04:30:00+00:00,14.718338188682843
325,2019-01-07T05:00:00+00:00,40.754231574317046
324,2019-01-07T05:30:00+00:00,41.76351130998792
323,2019-01-07T06:00:00+00:00,48.38298864562081
322,2019-01-07T06:30:00+00:00,49.80257141555407
321,2019-01-07T07:00:00+00:00,55.425474999261205
320,2019-01-07T07:30:00+00:00,56.184095358810566
319,2019-01-07T08:00:00+00:00,14.842746921842359
318,2019-01-07T08:30:00+00:00,14.934481153639906
317,2019-01-07T09:00:00+00:00,14.939270450209701
316,2019-01-07T09:30:00+00:00,14.906642704537074
315,2019-01-07T10:00:00+00:00,58.67088242755925
314,2019-01-07T10:30:00+00:00,58.69904475958927
313,2019-01-07T11:00:00+00:00,55.08767699471785
312,2019-01-07T11:30:00+00:00,54.694031183614946
311,2019-01-07T12:00:00+00:00,54.70033376553112
310,2019-01-07T12:30:00+00:00,54.91877485120203
309,2019-01-07T13:00:00+00:00,56.109742755023355
308,2019-01-07T13:30:00+00:00,56.08868374133532
307,2019-01-07T14:00:00+00:00,55.482051524483644
306,2019-01-07T14:30:00+00:00,55.56784315512478
305,2019-01-07T15:00:00+00:00,54.39152324808788
304,2019-01-07T15:30:00+00:00,53.991579280632074
303,2019-01-07T16:00:00+00:00,51.84830332321878
302,2019-01-07T16:30:00+00:00,51.887091281189996
301,2019-01-07T17:00:00+00:00,13.569506438102522
300,2019-01-07T17:30:00+00:00,13.488929821471372
299,2019-01-07T18:00:00+00:00,13.133888842488027
298,2019-01-07T18:30:00+00:00,12.517205654721788
297,2019-01-07T19:00:00+00:00,43.19007751396932
296,2019-01-07T19:30:00+00:00,42.65201734922876
295,2019-01-07T20:00:00+00:00,39.87851193765867
294,2019-01-07T20:30:00+00:00,39.49575550542134
293,2019-01-07T21:00:00+00:00,16.784007150557244
292,2019-01-07T21:30:00+00:00,16.759577117467224
291,2019-01-07T22:00:00+00:00,16.417305328306
290,2019-01-07T22:30:00+00:00,16.06495528078321
289,2019-01-07T23:00:00+00:00,15.571003422427708
288,2019-01-07T23:30:00+00:00,15.302184449159208
287,2019-01-08T00:00:00+00:00,15.049315419127868
286,2019-01-08T00:30:00+00:00,14.98904836615237
285,2019-01-08T01:00:00+00:00,14.790850237448682
284,2019-01-08T01:30:00+00:00,14.494955668849517
283,2019-01-08T02:00:00+00:00,14.224383155329004
282,2019-01-08T02:30:00+00:00,14.098755675346675
281,2019-01-08T03:00:00+00:00,14.172735863021183
280,2019-01-08T03:30:00+00:00,14.215162170722202
279,2019-01-08T04:00:00+00:00,15.105575770704629
278,2019-01-08T04:30:00+00:00,15.429073240663717
277,2019-01-08T05:00:00+00:00,42.70319616573996
276,2019-01-08T05:30:00+00:00,43.88329688501715
275,2019-01-08T06:00:00+00:00,50.16861396127807
274,2019-01-08T06:30:00+00:00,51.265219631480655
273,2019-01-08T07:00:00+00:00,56.507560467915425
272,2019-01-08T07:30:00+00:00,57.19863401486637
271,2019-01-08T08:00:00+00:00,14.832849774709027
270,2019-01-08T08:30:00+00:00,14.965996688310796
269,2019-01-08T09:00:00+00:00,14.95650899833009
268,2019-01-08T09:30:00+00:00,14.972814135086079
267,2019-01-08T10:00:00+00:00,59.07037514968199
266,2019-01-08T10:30:00+00:00,58.92283627297469
265,2019-01-08T11:00:00+00:00,55.25534483369458
264,2019-01-08T11:30:00+00:00,54.86666370581533
263,2019-01-08T12:00:00+00:00,54.84048447796186
262,2019-01-08T12:30:00+00:00,55.14594808022947
261,2019-01-08T13:00:00+00:00,56.07742200057816
260,2019-01-08T13:30:00+00:00,55.99923422353562
259,2019-01-08T14:00:00+00:00,55.35734367386819
258,2019-01-08T14:30:00+00:00,55.1198777506676
257,2019-01-08T15:00:00+00:00,53.94117571673249
256,2019-01-08T15:30:00+00:00,53.99613696698351
255,2019-01-08T16:00:00+00:00,51.62789315166589
254,2019-01-08T16:30:00+00:00,51.59701772532002
253,2019-01-08T17:00:00+00:00,13.507938261854694
252,2019-01-08T17:30:00+00:00,13.470248924864766
251,2019-01-08T18:00:00+00:00,13.192772997711046
250,2019-01-08T18:30:00+00:00,12.494513814653775
249,2019-01-08T19:00:00+00:00,43.05030761934603
248,2019-01-08T19:30:00+00:00,42.64345172889233
247,2019-01-08T20:00:00+00:00,39.80371165412955
246,2019-01-08T20:30:00+00:00,39.4344293836707
245,2019-01-08T21:00:00+00:00,16.77646845583464
244,2019-01-08T21:30:00+00:00,16.748878827657645
243,2019-01-08T22:00:00+00:00,16.364537531651028
242,2019-01-08T22:30:00+00:00,15.953138345662483
241,2019-01-08T23:00:00+00:00,15.35855448739714
240,2019-01-08T23:30:00+00:00,15.039588679096386
239,2019-01-09T00:00:00+00:00,14.766850803466934
238,2019-01-09T00:30:00+00:00,14.729486888126477
237,2019-01-09T01:00:00+00:00,14.575980743235927
236,2019-01-09T01:30:00+00:00,14.295808021618077
235,2019-01-09T02:00:00+00:00,14.024983018645036
234,2019-01-09T02:30:00+00:00,13.837817727103403
233,2019-01-09T03:00:00+00:00,13.934412677282722
232,2019-01-09T03:30:00+00:00,14.006511433877808
231,2019-01-09T04:00:00+00:00,14.91409237576749
230,2019-01-09T04:30:00+00:00,15.248768994975688
229,2019-01-09T05:00:00+00:00,42.46608621139302
228,2019-01-09T05:30:00+00:00,43.44930065359691
227,2019-01-09T06:00:00+00:00,50.133244730399134
226,2019-01-09T06:30:00+00:00,51.27230622129781
225,2019-01-09T07:00:00+00:00,56.69491250264646
224,2019-01-09T07:30:00+00:00,57.54493796641994
223,2019-01-09T08:00:00+00:00,14.754663536491636
222,2019-01-09T08:30:00+00:00,14.935210153747343
221,2019-01-09T09:00:00+00:00,14.986328861113662
220,2019-01-09T09:30:00+00:00,15.046541116143352
219,2019-01-09T10:00:00+00:00,60.150689964990974
218,2019-01-09T10:30:00+00:00,60.16368569705043
217,2019-01-09T11:00:00+00:00,56.41152947465057
216,2019-01-09T11:30:00+00:00,55.98296062846649
215,2019-01-09T12:00:00+00:00,55.86331434477585
214,2019-01-09T12:30:00+00:00,56.217640751795415
213,2019-01-09T13:00:00+00:00,57.252439575564004
212,2019-01-09T13:30:00+00:00,57.23653204085943
211,2019-01-09T14:00:00+00:00,56.436044907045414
210,2019-01-09T14:30:00+00:00,56.49620333238797
209,2019-01-09T15:00:00+00:00,55.1271142725339
208,2019-01-09T15:30:00+00:00,55.4972490583229
207,2019-01-09T16:00:00+00:00,53.10341973095347
206,2019-01-09T16:30:00+00:00,53.30429282583185
205,2019-01-09T17:00:00+00:00,14.060767610314606
204,2019-01-09T17:30:00+00:00,14.069264876941343
203,2019-01-09T18:00:00+00:00,13.716680255925969
202,2019-01-09T18:30:00+00:00,13.045604121395662
201,2019-01-09T19:00:00+00:00,44.59957510049641
200,2019-01-09T19:30:00+00:00,44.00454564782292
199,2019-01-09T20:00:00+00:00,41.12461949205092
198,2019-01-09T20:30:00+00:00,40.655712688610635
197,2019-01-09T21:00:00+00:00,17.3009370790736
196,2019-01-09T21:30:00+00:00,17.23743578463351
195,2019-01-09T22:00:00+00:00,16.781212406174106
194,2019-01-09T22:30:00+00:00,16.44534569775245
193,2019-01-09T23:00:00+00:00,16.091384851772006
192,2019-01-09T23:30:00+00:00,15.80037752360413
191,2019-01-10T00:00:00+00:00,15.61111508496888
190,2019-01-10T00:30:00+00:00,15.558810066926393
189,2019-01-10T01:00:00+00:00,15.381164225834759
188,2019-01-10T01:30:00+00:00,15.075824419887601
187,2019-01-10T02:00:00+00:00,14.872782720079808
186,2019-01-10T02:30:00+00:00,14.742872621152268
185,2019-01-10T03:00:00+00:00,14.743665771125002
184,2019-01-10T03:30:00+00:00,14.822572806188015
183,2019-01-10T04:00:00+00:00,15.687800976875984
182,2019-01-10T04:30:00+00:00,16.114968463194607
181,2019-01-10T05:00:00+00:00,43.836136445553954
180,2019-01-10T05:30:00+00:00,44.84877755887155
179,2019-01-10T06:00:00+00:00,51.84630425153271
178,2019-01-10T06:30:00+00:00,53.10485719199914
177,2019-01-10T07:00:00+00:00,58.756339894808534
176,2019-01-10T07:30:00+00:00,59.468178139765726
175,2019-01-10T08:00:00+00:00,15.950485545897788
174,2019-01-10T08:30:00+00:00,16.135066208968702
173,2019-01-10T09:00:00+00:00,16.257475978837526
172,2019-01-10T09:30:00+00:00,16.293984883531362
171,2019-01-10T10:00:00+00:00,62.246806877232636
170,2019-01-10T10:30:00+00:00,62.24020085186925
169,2019-01-10T11:00:00+00:00,58.11400824869959
168,2019-01-10T11:30:00+00:00,57.437446716723116
167,2019-01-10T12:00:00+00:00,57.00255622314761
166,2019-01-10T12:30:00+00:00,57.68788786800616
165,2019-01-10T13:00:00+00:00,58.18887800219013
164,2019-01-10T13:30:00+00:00,58.33787362235489
163,2019-01-10T14:00:00+00:00,57.32204546601953
162,2019-01-10T14:30:00+00:00,57.28166977071133
161,2019-01-10T15:00:00+00:00,55.839536947031235
160,2019-01-10T15:30:00+00:00,56.168061190402284
159,2019-01-10T16:00:00+00:00,53.523262695672784
158,2019-01-10T16:30:00+00:00,53.70076921098229
157,2019-01-10T17:00:00+00:00,14.678287373641552
156,2019-01-10T17:30:00+00:00,14.781021888392555
155,2019-01-10T18:00:00+00:00,14.36561041086885
154,2019-01-10T18:30:00+00:00,13.532595608529553
153,2019-01-10T19:00:00+00:00,44.78888581759851
152,2019-01-10T19:30:00+00:00,44.02598219465139
151,2019-01-10T20:00:00+00:00,41.31719692740137
150,2019-01-10T20:30:00+00:00,40.991437499959204
149,2019-01-10T21:00:00+00:00,17.84604611771134
148,2019-01-10T21:30:00+00:00,17.77984817802241
147,2019-01-10T22:00:00+00:00,17.293471365436105
146,2019-01-10T22:30:00+00:00,16.964879191845043
145,2019-01-10T23:00:00+00:00,16.51358416663985
144,2019-01-10T23:30:00+00:00,16.253224386256477
143,2019-01-11T00:00:00+00:00,15.993006230392837
142,2019-01-11T00:30:00+00:00,15.97333910689218
141,2019-01-11T01:00:00+00:00,15.77094998381354
140,2019-01-11T01:30:00+00:00,15.433412262110306
139,2019-01-11T02:00:00+00:00,15.229249735427445
138,2019-01-11T02:30:00+00:00,15.102539356493509
137,2019-01-11T03:00:00+00:00,15.184129239068547
136,2019-01-11T03:30:00+00:00,15.152794701560879
135,2019-01-11T04:00:00+00:00,16.029125132515954
134,2019-01-11T04:30:00+00:00,16.376674444152293
133,2019-01-11T05:00:00+00:00,44.158415579504094
132,2019-01-11T05:30:00+00:00,45.062999835581515
131,2019-01-11T06:00:00+00:00,51.409104951492324
130,2019-01-11T06:30:00+00:00,52.60849028535911
129,2019-01-11T07:00:00+00:00,57.7053913569599
128,2019-01-11T07:30:00+00:00,58.38949419133567
127,2019-01-11T08:00:00+00:00,15.605992327136523
126,2019-01-11T08:30:00+00:00,15.712262813773231
125,2019-01-11T09:00:00+00:00,15.768062078639723
124,2019-01-11T09:30:00+00:00,15.690097705427677
123,2019-01-11T10:00:00+00:00,59.599255757760886
122,2019-01-11T10:30:00+00:00,59.333312664212094
121,2019-01-11T11:00:00+00:00,55.60599727279644
120,2019-01-11T11:30:00+00:00,54.780915610673084
119,2019-01-11T12:00:00+00:00,54.09744057875682
118,2019-01-11T12:30:00+00:00,54.266349545181036
117,2019-01-11T13:00:00+00:00,54.04712077531862
116,2019-01-11T13:30:00+00:00,54.03694134714314
115,2019-01-11T14:00:00+00:00,52.51873613611095
114,2019-01-11T14:30:00+00:00,52.35117737352026
113,2019-01-11T15:00:00+00:00,50.17934598063497
112,2019-01-11T15:30:00+00:00,50.03967344851715
111,2019-01-11T16:00:00+00:00,48.12666703959935
110,2019-01-11T16:30:00+00:00,48.33963053524522
109,2019-01-11T17:00:00+00:00,13.403092026564032
108,2019-01-11T17:30:00+00:00,13.35436557338884
107,2019-01-11T18:00:00+00:00,12.997851035066383
106,2019-01-11T18:30:00+00:00,12.449315999979834
105,2019-01-11T19:00:00+00:00,40.58241661023406
104,2019-01-11T19:30:00+00:00,40.24553162784856
103,2019-01-11T20:00:00+00:00,38.26081448265569
102,2019-01-11T20:30:00+00:00,37.84821898356833
101,2019-01-11T21:00:00+00:00,16.845590565154364
100,2019-01-11T21:30:00+00:00,16.851899365638403
99,2019-01-11T22:00:00+00:00,16.491380873898645
98,2019-01-11T22:30:00+00:00,16.168501573880206
97,2019-01-11T23:00:00+00:00,15.45808481685841
96,2019-01-11T23:30:00+00:00,15.123633360350176
95,2019-01-12T00:00:00+00:00,14.822072228414562
94,2019-01-12T00:30:00+00:00,14.715411766276146
93,2019-01-12T01:00:00+00:00,14.381696626781324
92,2019-01-12T01:30:00+00:00,14.016236756560756
91,2019-01-12T02:00:00+00:00,13.6353307311606
90,2019-01-12T02:30:00+00:00,13.518005523927751
89,2019-01-12T03:00:00+00:00,13.372419157486359
88,2019-01-12T03:30:00+00:00,13.369153571878174
87,2019-01-12T04:00:00+00:00,13.456551734478445
86,2019-01-12T04:30:00+00:00,13.61156612542873
85,2019-01-12T05:00:00+00:00,31.52685144370202
84,2019-01-12T05:30:00+00:00,32.05824992444459
83,2019-01-12T06:00:00+00:00,33.64499650665421
82,2019-01-12T06:30:00+00:00,34.31585607449299
81,2019-01-12T07:00:00+00:00,35.46011242789758
80,2019-01-12T07:30:00+00:00,35.69921450084259
79,2019-01-12T08:00:00+00:00,12.355930630506188
78,2019-01-12T08:30:00+00:00,12.594766600165897
77,2019-01-12T09:00:00+00:00,12.608552797650288
76,2019-01-12T09:30:00+00:00,12.586676884041504
75,2019-01-12T10:00:00+00:00,36.08022991355246
74,2019-01-12T10:30:00+00:00,35.87797350333414
73,2019-01-12T11:00:00+00:00,34.492822546399495
72,2019-01-12T11:30:00+00:00,34.063963304909755
71,2019-01-12T12:00:00+00:00,33.135371429013674
70,2019-01-12T12:30:00+00:00,32.89482206057047
69,2019-01-12T13:00:00+00:00,32.483343945056866
68,2019-01-12T13:30:00+00:00,32.22062019569765
67,2019-01-12T14:00:00+00:00,31.863685773202192
66,2019-01-12T14:30:00+00:00,31.934478802837877
65,2019-01-12T15:00:00+00:00,31.767118733276444
64,2019-01-12T15:30:00+00:00,31.816073189353276
63,2019-01-12T16:00:00+00:00,32.24594764076938
62,2019-01-12T16:30:00+00:00,32.71846900902125
61,2019-01-12T17:00:00+00:00,11.986375996509178
60,2019-01-12T17:30:00+00:00,12.190902680082043
59,2019-01-12T18:00:00+00:00,12.015707933063602
58,2019-01-12T18:30:00+00:00,11.514160416118969
57,2019-01-12T19:00:00+00:00,31.457479435285606
56,2019-01-12T19:30:00+00:00,31.170716709362175
55,2019-01-12T20:00:00+00:00,30.361585074531963
54,2019-01-12T20:30:00+00:00,30.247926379147106
53,2019-01-12T21:00:00+00:00,14.729262610760372
52,2019-01-12T21:30:00+00:00,14.829327406200981
51,2019-01-12T22:00:00+00:00,14.56644425339972
50,2019-01-12T22:30:00+00:00,14.277398706541405
49,2019-01-12T23:00:00+00:00,13.64068265626252
48,2019-01-12T23:30:00+00:00,13.391710247458661
47,2019-01-13T00:00:00+00:00,13.106275806167279
46,2019-01-13T00:30:00+00:00,13.059023472402838
45,2019-01-13T01:00:00+00:00,12.817449246089282
44,2019-01-13T01:30:00+00:00,12.471675899935235
43,2019-01-13T02:00:00+00:00,12.107677359891344
42,2019-01-13T02:30:00+00:00,11.959305201449352
41,2019-01-13T03:00:00+00:00,11.741875998903335
40,2019-01-13T03:30:00+00:00,11.710196445802655
39,2019-01-13T04:00:00+00:00,11.667317182516568
38,2019-01-13T04:30:00+00:00,11.63406620060244
37,2019-01-13T05:00:00+00:00,12.245143324603976
36,2019-01-13T05:30:00+00:00,12.571084519076704
35,2019-01-13T06:00:00+00:00,12.92261399703292
34,2019-01-13T06:30:00+00:00,13.365279126328229
33,2019-01-13T07:00:00+00:00,13.686991694326043
32,2019-01-13T07:30:00+00:00,13.788179114979195
31,2019-01-13T08:00:00+00:00,13.832444177785504
30,2019-01-13T08:30:00+00:00,14.00527599438017
29,2019-01-13T09:00:00+00:00,14.273044064240695
28,2019-01-13T09:30:00+00:00,14.360586054390506
27,2019-01-13T10:00:00+00:00,14.462775050252162
26,2019-01-13T10:30:00+00:00,14.494896287235099
25,2019-01-13T11:00:00+00:00,14.642012194832589
24,2019-01-13T11:30:00+00:00,14.46191992208937
23,2019-01-13T12:00:00+00:00,14.183674547079093
22,2019-01-13T12:30:00+00:00,13.914465495213008
21,2019-01-13T13:00:00+00:00,13.603017498198973
20,2019-01-13T13:30:00+00:00,13.339346683512854
19,2019-01-13T14:00:00+00:00,13.063628395270197
18,2019-01-13T14:30:00+00:00,13.070415207817486
17,2019-01-13T15:00:00+00:00,12.972863754253924
16,2019-01-13T15:30:00+00:00,13.039633098690183
15,2019-01-13T16:00:00+00:00,13.494715347481783
14,2019-01-13T16:30:00+00:00,13.969900845009658
13,2019-01-13T17:00:00+00:00,14.309891977696639
12,2019-01-13T17:30:00+00:00,14.54641641549441
11,2019-01-13T18:00:00+00:00,14.717377694782284
10,2019-01-13T18:30:00+00:00,14.645106343919561
9,2019-01-13T19:00:00+00:00,14.487702311963474
8,2019-01-13T19:30:00+00:00,14.25209602718293
7,2019-01-13T20:00:00+00:00,14.044056535131396
6,2019-01-13T20:30:00+00:00,13.795387538362245
5,2019-01-13T21:00:00+00:00,13.397713630636105
4,2019-01-13T21:30:00+00:00,13.509625879834601
3,2019-01-13T22:00:00+00:00,13.3884351372057
2,2019-01-13T22:30:00+00:00,13.059520175487606
1,2019-01-13T23:00:00+00:00,12.929409485568264
0,2019-01-13T23:30:00+00:00,12.65230080926166
